,date,avg_close,avg_open,avg_high,avg_low,avg_volume
0,2021-02-05 10:00:00,37458.68333333333,37289.65666666667,37694.85999999999,37236.61601322667,3016979.9456687383
1,2021-02-05 11:00:00,37737.676666666666,37451.79,37765.52333333334,37439.993333333325,2373841.294023989
2,2021-02-05 12:00:00,37933.94666666666,37736.99,38187.496666666666,37593.69666666666,12924930.519038929
3,2021-02-05 13:00:00,38343.56,37920.613333333335,38361.166666666664,37847.996666666666,8052745.290950697
4,2021-02-05 14:00:00,38150.39666666667,38343.88333333333,38368.340000000004,38026.676666666666,7594083.9091825215
5,2021-02-05 15:00:00,37988.19666666666,38151.583333333336,38345.62666666667,37933.21818541,6158707.713249342
6,2021-02-05 16:00:00,37843.001059986665,37993.19666666666,38199.0,37697.96333333333,8530629.03439566
7,2021-02-05 17:00:00,37914.01666666667,37841.833333333336,37974.323333333334,37753.78,2160787.1337024067
8,2021-02-05 18:00:00,37399.83666666667,37923.27666666667,37942.35666666667,37336.753333333334,11145714.866754156
9,2021-02-05 19:00:00,37642.92814066666,37400.170000000006,37690.78,37273.21666666667,7420944.138097535
10,2021-02-05 20:00:00,37767.636666666665,37646.15480733333,37805.12333333333,37529.26,3198283.1201387546
11,2021-02-05 21:00:00,37849.93,37769.35999999999,37931.47,37693.98,2783507.4229651424
12,2021-02-05 22:00:00,37823.37333333333,37848.596666666665,37993.526666666665,37703.62333333333,5608444.608023089
13,2021-02-05 23:00:00,38297.193333333336,37820.713333333326,38317.44331056666,37784.840000000004,5067092.099554641
14,2021-02-06 00:00:00,38765.32666666667,38297.4866439,38876.377743979996,38230.94666666666,11918428.74878455
15,2021-02-06 01:00:00,38856.49,38769.096666666665,39478.416666666664,38325.37333333333,21803216.72515391
16,2021-02-06 02:00:00,39416.950000000004,38852.263333333336,39523.35547293,38639.85333333333,11651252.72152655
17,2021-02-06 03:00:00,39408.05333333334,39421.32666666667,39688.0,39238.726602003335,6373517.257405209
18,2021-02-06 04:00:00,39220.416666666664,39389.58666666667,39389.920000000006,38979.71,7236803.67536747
19,2021-02-06 05:00:00,39056.253333333334,39224.14666666667,39259.27,38778.670000000006,6154290.488343354
20,2021-02-06 06:00:00,39321.30205154666,39058.90666666667,39469.24,39049.26764189,4666653.455690705
21,2021-02-06 07:00:00,39408.59,39313.08207323333,39521.44371119334,39196.09371233,3321739.7342376723
22,2021-02-06 08:00:00,39498.573333333334,39390.54,39725.96666666667,39390.54,12714469.699646672
23,2021-02-06 09:00:00,39947.88,39494.369999999995,39952.493333333325,39472.09333333333,15258494.069654347
24,2021-02-06 10:00:00,40078.79,39949.51,40094.56,39612.08666666667,19278515.960926745
25,2021-02-06 11:00:00,40272.36,40078.920252,40529.93666666667,40063.08452726667,24795407.154178407
26,2021-02-06 12:00:00,40002.073333333334,40261.09832966667,40534.083333333336,39960.26333333333,8225923.845476371
27,2021-02-06 13:00:00,40183.46333333333,40000.41135466667,40329.676666666666,39985.14666666667,5224776.259237976
28,2021-02-06 14:00:00,40349.1,40184.33666666667,40640.46,40183.10666666667,9009349.570162239
29,2021-02-06 15:00:00,40929.66,40351.986666666664,40929.66,40265.166666666664,11952555.370498322
30,2021-02-06 16:00:00,40664.00333333333,40929.66,41003.49333333334,40551.573333333334,13446407.908877328
31,2021-02-06 17:00:00,40271.763333333336,40666.76,40714.58666666667,40230.97637533333,7192160.54153313
32,2021-02-06 18:00:00,40348.549999999996,40259.763333333336,40520.316666666666,40137.59333333333,10037662.10613989
33,2021-02-06 19:00:00,40227.00666666666,40363.496666666666,40477.57188266666,40049.333333333336,4821587.757045183
34,2021-02-06 20:00:00,40153.52333333334,40234.36488733333,40234.36488733333,39676.89333333333,11225424.236231165
35,2021-02-06 21:00:00,40109.96333333333,40155.09666666667,40311.57160447666,40107.03666666667,3798933.488054458
36,2021-02-06 22:00:00,40056.60666666667,40105.44666666666,40508.31,39989.24,5223540.88712144
37,2021-02-06 23:00:00,39267.89666666667,40051.18649764,40051.23333333334,39112.71,14432062.259767598
38,2021-02-07 00:00:00,39609.253333333334,39266.46333333333,39674.35333333333,38765.75666666667,16919075.79606357
39,2021-02-07 01:00:00,38663.9517911,39614.066666666666,39638.556666666664,38536.42333333333,8422815.474170638
40,2021-02-07 02:00:00,38807.71,38667.066666666666,38853.76,38388.89666666667,5493111.827941801
41,2021-02-07 03:00:00,38877.40315966667,38794.34,38963.54,38627.316666666666,3354386.4156114995
42,2021-02-07 04:00:00,38373.40333333333,38855.253333333334,38867.346666666665,38005.10333333333,8930581.779816536
43,2021-02-07 05:00:00,38572.706666666665,38374.0,38734.49,38213.097809633335,5794351.269906678
44,2021-02-07 06:00:00,38579.93333333334,38573.09,38742.777516266666,38346.38946319666,3867728.7341712606
45,2021-02-07 07:00:00,39088.136666666665,38583.598302633334,39123.473333333335,38482.90333333333,6020912.414187684
46,2021-02-07 08:00:00,39510.13,39085.47666666667,39560.06666666667,39079.83846893334,7380842.681997334
47,2021-02-07 09:00:00,39562.12666666667,39510.18629687,39734.03851403333,39350.32266033333,6052578.707671974
48,2021-02-07 10:00:00,39360.20846469333,39568.200000000004,39710.82,39212.62333333333,2664946.1611324986
49,2021-02-07 11:00:00,39097.51,39343.27360776667,39393.689085590006,38842.45333333333,5239189.558229803
50,2021-02-07 12:00:00,38852.67333333334,39089.44,39323.86272896334,38604.49333333334,7222399.733865066
51,2021-02-07 13:00:00,38684.253333333334,38861.33666666667,39146.706666666665,38431.10333333333,7820324.292914956
52,2021-02-07 14:00:00,38267.363333333335,38680.068162970005,38727.526666666665,38219.003333333334,10953428.940183342
53,2021-02-07 15:00:00,37973.29,38253.29666666667,38407.59,37594.916666666664,23119361.284637135
54,2021-02-07 16:00:00,38219.933333333334,37964.33666666667,38278.420000000006,37387.64333333333,19242157.71048941
55,2021-02-07 17:00:00,37905.71,38223.43,38255.223333333335,37747.863333333335,4145045.2283408404
56,2021-02-07 18:00:00,38312.26666666667,37903.0,38388.71333333334,37892.28333333333,3478124.4313579644
57,2021-02-07 19:00:00,38099.746666666666,38312.60333333334,38501.590000000004,38031.34666666667,3367948.0071327034
58,2021-02-07 20:00:00,38510.706666666665,38114.456666666665,38514.36666666667,37751.36018163667,5764605.994944415
59,2021-02-07 21:00:00,38583.253333333334,38499.71341333334,38675.066666666666,38405.18750594667,2655793.4148335275
60,2021-02-07 22:00:00,38824.47,38574.206666666665,38843.012324,38348.57000000001,2680063.353629521
61,2021-02-07 23:00:00,38854.986666666664,38831.14686812666,39122.85666666667,38767.386666666665,4593513.014880344
62,2021-02-08 00:00:00,38761.166666666664,38860.31,39166.27,38716.573333333334,3980696.632187506
63,2021-02-08 01:00:00,38577.52333333333,38776.42333333333,38945.71666666667,38480.34666666667,2865458.922013121
64,2021-02-08 02:00:00,38284.41,38575.909999999996,38704.79666666667,38125.40666666666,8220230.286937562
65,2021-02-08 03:00:00,38090.613333333335,38286.64333333333,38520.11666666667,38044.5,4734572.893144338
66,2021-02-08 04:00:00,38616.649999999994,38088.363333333335,38697.10999999999,38035.549999999996,5225252.079007118
67,2021-02-08 05:00:00,38702.333333333336,38622.85333333333,38889.18666666667,38484.99776416667,2642321.1543826605
68,2021-02-08 06:00:00,39053.23,38704.47666666667,39244.94127841,38642.756179133336,4122931.5600239206
69,2021-02-08 07:00:00,39301.666666666664,39064.58666666667,39407.01,38913.37333333333,5830114.889416865
70,2021-02-08 08:00:00,39213.47022704667,39307.35666666667,39385.25666666666,39089.58524404666,3781645.7116253767
71,2021-02-08 09:00:00,38981.89666666667,39213.47174266667,39374.016928733334,38917.71547337667,3088283.6373811434
72,2021-02-08 10:00:00,39462.026666666665,38983.56333333333,39484.573333333334,38879.81,5366226.8314177
73,2021-02-08 11:00:00,39449.59666666667,39460.98333333333,39539.539179733336,39364.10666666667,5949824.195097044
74,2021-02-08 12:00:00,43314.29,39458.670000000006,43464.91333333334,39152.723333333335,87960285.03423408
75,2021-02-08 13:00:00,43084.73,43265.61,44843.333333333336,41657.15,166665637.9865982
76,2021-02-08 14:00:00,43700.77073801333,43084.73,44191.544801489996,43066.87,53783707.62514954
